race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
202305010101,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:05,2023年1月28日,1回東京1日目,16,7,14,5,10,5,9,160,110,170,890,430,520,270,"1,820","4,120",710,"7,490","18,190"
202305010102,2 R,3歳新馬,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:35,2023年1月28日,1回東京1日目,16,7,13,8,16,1,1,260,140,460,640,"1,370","1,940",800,"1,790","5,830","3,130","22,550","85,690"
202305010103,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:05,2023年1月28日,1回東京1日目,16,5,9,7,14,4,7,230,120,170,440,400,580,300,740,"1,210","1,040","3,470","11,550"
202305010104,4 R,3歳1勝クラス,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:35,2023年1月28日,1回東京1日目,12,8,11,7,9,5,5,340,130,130,170,590,680,270,400,420,"1,300","1,540","6,730"
202305010105,5 R,3歳未勝利,芝左1800m,天候 : 晴,芝 : 良,発走 : 12:25,2023年1月28日,1回東京1日目,16,6,11,2,3,4,7,160,110,500,190,360,"2,880",910,340,"3,090","3,550","5,880","22,130"
202305010106,6 R,3歳新馬,芝左1600m,天候 : 晴,芝 : 良,発走 : 12:55,2023年1月28日,1回東京1日目,16,2,4,3,5,6,11,"1,580",260,110,160,"1,020","1,100",410,"1,060",240,"3,900","1,830","17,350"
202305010107,7 R,4歳以上1勝クラス,ダ左1400m,天候 : 晴,ダート : 良,発走 : 13:25,2023年1月28日,1回東京1日目,16,8,16,5,10,7,13,260,130,370,180,"2,330","2,630",810,310,"1,500","3,970","4,230","20,480"
202305010108,8 R,4歳以上2勝クラス,ダ左2100m,天候 : 晴,ダート : 良,発走 : 14:01,2023年1月28日,1回東京1日目,16,1,1,6,12,1,2,670,170,120,150,360,860,360,560,270,"2,030","1,510","8,870"
202305010109,9 R,白嶺ステークス ,ダ左1600m,天候 : 晴,ダート : 良,"発走 : 14:35

過去の白嶺ステークス",2023年1月28日,1回東京1日目,15,2,3,5,9,6,10,150,110,890,350,"3,050","6,560","2,050",620,"12,030","7,730","20,990","72,700"
202305010110,10 R,クロッカスステークス(L),芝左1400m,天候 : 晴,芝 : 良,"発走 : 15:10

過去のクロッカスステークス",2023年1月28日,1回東京1日目,10,6,6,7,7,7,8,400,150,320,170,720,"2,570",800,340,"1,080","4,450","3,390","22,420"
202305010111,11 R,白富士ステークス(L),芝左2000m,天候 : 晴,芝 : 良,"発走 : 15:45

過去の白富士ステークス",2023年1月28日,1回東京1日目,10,7,7,1,1,2,2,180,110,130,150,410,390,180,230,320,600,620,"1,850"
202305010112,12 R,4歳以上1勝クラス,芝左1800m,天候 : 曇,芝 : 良,発走 : 16:25,2023年1月28日,1回東京1日目,13,4,5,5,7,6,8,810,200,140,190,630,820,320,770,390,"2,520","1,820","13,750"
202305010201,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2023年1月29日,1回東京2日目,16,1,1,3,6,6,12,420,180,"1,260",430,"2,350","13,330","3,530","1,380","14,170","19,310","86,180","479,600"
202305010202,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,発走 : 10:40,2023年1月29日,1回東京2日目,16,3,5,4,7,5,10,400,120,110,140,290,350,180,510,260,830,870,"4,500"
202305010203,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2023年1月29日,1回東京2日目,16,3,6,3,5,5,9,300,130,360,490,"2,190","2,440",830,850,"5,370","4,100","14,010","65,590"
202305010204,4 R,4歳以上1勝クラス,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:40,2023年1月29日,1回東京2日目,16,8,15,8,16,5,10,360,150,220,370,"1,410","1,090",440,970,"1,000","2,560","4,750","25,300"
202305010205,5 R,3歳未勝利,芝左1600m,天候 : 晴,芝 : 良,発走 : 12:30,2023年1月29日,1回東京2日目,16,3,6,2,3,8,15,340,130,180,130,"1,110","1,110",400,250,390,"2,310","1,060","7,840"
202305010206,6 R,3歳新馬,芝左1800m,天候 : 晴,芝 : 良,発走 : 13:00,2023年1月29日,1回東京2日目,16,3,5,2,4,5,10,430,130,120,140,420,450,200,300,270,"1,040",760,"3,580"
202305010207,7 R,4歳以上1勝クラス,ダ左2100m,天候 : 晴,ダート : 良,発走 : 13:30,2023年1月29日,1回東京2日目,11,6,6,1,1,8,11,"1,010",270,110,210,"1,100","1,380",620,"1,430",450,"3,490","3,840","33,830"
202305010208,8 R,4歳以上2勝クラス,ダ左1400m,天候 : 晴,ダート : 良,発走 : 14:01,2023年1月29日,1回東京2日目,16,6,12,4,8,5,9,250,120,160,130,620,920,410,180,350,"1,510",750,"3,580"
202305010209,9 R,セントポーリア賞 ,芝左1800m,天候 : 晴,芝 : 良,"発走 : 14:35

過去のセントポーリア賞",2023年1月29日,1回東京2日目,8,4,4,5,5,7,7,290,120,150,120,910,0,320,200,360,"1,520",870,"4,270"
202305010210,10 R,節分ステークス ,芝左1600m,天候 : 晴,芝 : 良,"発走 : 15:10

過去の節分ステークス",2023年1月29日,1回東京2日目,12,4,4,1,1,2,2,200,110,920,390,"4,370","4,780","1,670",730,"6,030","5,050","15,390","57,540"
202305010211,11 R,第37回根岸ステークス(G3),ダ左1400m,天候 : 晴,ダート : 良,"発走 : 15:45

過去の根岸ステークス",2023年1月29日,1回東京2日目,16,7,13,3,6,7,14,160,110,140,200,350,390,200,350,730,530,"1,070","2,610"
202305010212,12 R,4歳以上2勝クラス,芝左2000m,天候 : 晴,芝 : 良,発走 : 16:25,2023年1月29日,1回東京2日目,11,4,4,8,10,6,7,500,140,110,120,760,760,240,280,180,"1,670",630,"4,630"
202306010101,1 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 良,発走 : 09:55,2023年1月5日,1回中山1日目,16,7,14,3,5,1,1,180,110,150,480,470,470,220,790,"1,550",660,"3,040","8,890"
202306010102,2 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:25,2023年1月5日,1回中山1日目,16,4,8,4,7,7,13,"1,380",460,440,400,"7,010","6,420","1,930","2,810","2,490","15,240","32,390","199,190"
202306010103,3 R,3歳新馬,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:55,2023年1月5日,1回中山1日目,16,8,16,5,9,1,2,"1,590",540,"1,000",440,"2,580","24,290","6,100","3,510","5,930","47,840","117,380","649,440"
202306010104,4 R,4歳以上1勝クラス,ダ右1800m,天候 : 晴,ダート : 良,発走 : 11:25,2023年1月5日,1回中山1日目,16,4,7,7,13,1,1,"1,590",330,290,150,660,"6,650","1,710",970,830,"13,100","7,310","78,280"
202306010105,5 R,3歳未勝利,芝右 外1600m,天候 : 晴,芝 : 良,発走 : 12:15,2023年1月5日,1回中山1日目,16,1,1,2,3,8,16,690,180,150,170,"1,130","1,220",510,750,410,"2,770","1,860","13,100"
202306010106,6 R,3歳1勝クラス,芝右2000m,天候 : 晴,芝 : 良,発走 : 12:45,2023年1月5日,1回中山1日目,10,5,5,2,2,7,7,400,150,190,210,"1,360","1,430",520,590,690,"2,170","3,220","14,150"
202306010107,7 R,4歳以上2勝クラス,ダ右1800m,天候 : 晴,ダート : 良,発走 : 13:15,2023年1月5日,1回中山1日目,16,6,11,4,8,1,1,"1,800",460,210,640,"1,270","4,520","1,660","3,060","1,870","11,040","20,120","161,520"
202306010108,8 R,4歳以上2勝クラス,ダ右1200m,天候 : 晴,ダート : 良,発走 : 13:50,2023年1月5日,1回中山1日目,15,6,11,5,9,4,7,300,140,150,170,490,630,300,380,400,"1,230","1,040","3,880"
202306010109,9 R,招福ステークス ,ダ右1800m,天候 : 晴,ダート : 良,"発走 : 14:25

過去の招福ステークス",2023年1月5日,1回中山1日目,12,7,9,8,11,3,3,150,110,160,190,290,480,260,350,550,660,"1,030","3,230"
202306010110,10 R,ジュニアカップ(L),芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:01

過去のジュニアカップ",2023年1月5日,1回中山1日目,13,8,13,7,11,2,2,350,160,310,350,270,"1,760",720,710,"1,860","3,080","6,240","25,690"
202306010111,11 R,第72回日刊スポ賞中山金杯(G3),芝右2000m,天候 : 晴,芝 : 良,"発走 : 15:35

過去の日刊スポ賞中山金杯",2023年1月5日,1回中山1日目,17,2,3,1,2,3,5,450,180,360,180,910,"3,690","1,270",580,"1,420","6,320","8,170","44,340"
202306010112,12 R,4歳以上2勝クラス,芝右2000m,天候 : 晴,芝 : 良,発走 : 16:10,2023年1月5日,1回中山1日目,14,1,1,8,13,6,10,140,110,170,180,190,480,240,320,760,590,"1,390","3,120"
202306010201,1 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 良,発走 : 09:55,2023年1月7日,1回中山2日目,16,3,6,1,2,8,15,180,110,120,130,290,300,190,220,400,610,600,"1,760"
202306010202,2 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:25,2023年1月7日,1回中山2日目,16,2,4,7,13,4,8,650,200,140,150,"1,370","1,450",520,640,290,"3,010","2,060","12,250"
202306010203,3 R,3歳新馬,ダ右1200m,天候 : 晴,ダート : 良,発走 : 10:55,2023年1月7日,1回中山2日目,16,2,4,3,6,7,13,380,170,560,170,"3,380","6,810","1,720",350,"1,770","9,270","7,780","55,620"
202306010204,4 R,4歳以上1勝クラス,ダ右2400m,天候 : 晴,ダート : 良,発走 : 11:25,2023年1月7日,1回中山2日目,11,7,9,6,7,4,4,200,110,140,490,290,370,190,910,"1,670",620,"3,070","8,610"
202306010205,5 R,3歳新馬,芝右 外1600m,天候 : 晴,芝 : 良,発走 : 12:15,2023年1月7日,1回中山2日目,16,2,3,1,1,8,16,710,270,540,330,"2,040","6,670","1,610",840,"2,760","12,230","15,780","83,200"
202306010206,6 R,3歳未勝利,芝右2000m,天候 : 晴,芝 : 良,発走 : 12:45,2023年1月7日,1回中山2日目,17,1,2,3,5,2,3,460,190,300,220,"1,780","2,510","1,100",630,"1,380","4,820","4,790","23,960"
202306010207,7 R,4歳以上1勝クラス,ダ右1200m,天候 : 晴,ダート : 良,発走 : 13:15,2023年1月7日,1回中山2日目,16,6,12,5,9,2,3,760,280,440,570,"2,750","5,860","1,920","2,070","4,400","11,100","38,920","226,970"
202306010208,8 R,中山新春ジャンプS ,障芝 ダート3200m,天候 : 晴,芝 : 良  ダート : 良,"発走 : 13:50

過去の中山新春ジャンプS",2023年1月7日,1回中山2日目,11,8,11,8,10,7,9,440,140,200,170,"1,340","1,330",500,430,"1,010","2,650","2,660","13,390"
202306010209,9 R,黒竹賞 ,ダ右1800m,天候 : 晴,ダート : 良,"発走 : 14:25

過去の黒竹賞",2023年1月7日,1回中山2日目,16,6,12,5,10,3,5,360,180,190,390,"1,200","1,770",710,"1,070","1,530","2,650","7,800","30,410"
202306010210,10 R,初春ステークス ,ダ右1200m,天候 : 晴,ダート : 良,"発走 : 15:01

過去の初春ステークス",2023年1月7日,1回中山2日目,15,7,12,1,1,6,11,"1,710",550,340,210,"11,840","11,910","3,210","1,830",790,"20,490","17,410","110,200"
202306010211,11 R,ニューイヤーS(L),芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:35

過去のニューイヤーS",2023年1月7日,1回中山2日目,13,1,1,4,4,3,3,570,180,260,170,"1,300","2,220",830,510,830,"4,290","3,460","21,670"
202306010212,12 R,4歳以上2勝クラス,芝右1800m,天候 : 晴,芝 : 良,発走 : 16:10,2023年1月7日,1回中山2日目,11,8,10,7,9,3,3,"4,600","1,060",520,440,"3,860","16,020","2,850","3,160","1,550","54,250","38,180","463,920"
202306010301,1 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 良,発走 : 09:55,2023年1月8日,1回中山3日目,16,4,8,4,7,3,6,"8,090","1,430",290,570,"18,360","17,180","3,050","6,030","1,320","53,020","59,340","580,520"
202306010302,2 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:25,2023年1月8日,1回中山3日目,16,1,1,3,6,7,14,"1,130",220,140,170,700,"1,260",460,770,240,"3,050","1,980","15,000"
202306010303,3 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:55,2023年1月8日,1回中山3日目,16,7,13,6,11,6,12,"1,780",410,160,360,"2,230","2,860",840,"1,940",980,"7,460","9,510","76,070"
202306010304,4 R,障害4歳以上未勝利,障芝 ダート2880m,天候 : 晴,芝 : 良  ダート : 良,発走 : 11:25,2023年1月8日,1回中山3日目,14,6,9,1,1,5,7,330,130,480,190,"3,580","4,460","1,280",360,"1,100","6,860","3,360","25,430"
202306010305,5 R,3歳未勝利,芝右 外2200m,天候 : 晴,芝 : 良,発走 : 12:15,2023年1月8日,1回中山3日目,17,1,1,1,2,7,13,350,170,"1,190",190,"11,400","12,020","2,670",500,"6,710","18,310","24,420","143,160"
202306010306,6 R,3歳新馬,芝右2000m,天候 : 晴,芝 : 良,発走 : 12:45,2023年1月8日,1回中山3日目,17,6,11,7,13,4,8,"4,080",890,230,250,"3,950","9,350","2,730","3,590",920,"17,920","24,070","242,350"
202306010307,7 R,4歳以上1勝クラス,ダ右1800m,天候 : 晴,ダート : 良,発走 : 13:15,2023年1月8日,1回中山3日目,16,3,6,1,2,8,16,530,210,150,250,"1,180","1,230",510,"1,110",780,"2,690","3,990","18,750"
202306010308,8 R,4歳以上1勝クラス,ダ右1200m,天候 : 晴,ダート : 良,発走 : 13:50,2023年1月8日,1回中山3日目,16,2,3,1,1,4,8,300,160,180,600,700,830,390,"1,630","2,450","1,330","9,620","29,720"
202306010309,9 R,朱竹賞 ,芝右 外1200m,天候 : 晴,芝 : 良,"発走 : 14:25

過去の朱竹賞",2023年1月8日,1回中山3日目,12,1,1,8,12,3,3,850,220,140,150,"1,130","1,700",600,610,330,"4,060","2,390","14,950"
202306010310,10 R,若潮ステークス ,芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:01

過去の若潮ステークス",2023年1月8日,1回中山3日目,12,7,10,4,4,2,2,340,140,150,170,630,700,310,470,460,"1,190","1,360","5,820"
202306010311,11 R,ポルックスステークス ,ダ右1800m,天候 : 晴,ダート : 良,"発走 : 15:35

過去のポルックスステークス",2023年1月8日,1回中山3日目,14,6,9,1,1,3,3,380,140,140,300,530,640,290,790,770,"1,420","2,520","10,510"
202306010312,12 R,4歳以上2勝クラス,芝右 外1600m,天候 : 晴,芝 : 良,発走 : 16:10,2023年1月8日,1回中山3日目,16,2,4,3,6,1,1,530,180,190,140,"2,450","2,200",670,390,480,"4,000","1,470","10,670"
202306010401,1 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 良,発走 : 09:55,2023年1月9日,1回中山4日目,15,5,8,3,4,2,2,"1,120",380,210,710,840,"2,560","1,020","3,250","1,610","5,940","19,200","98,310"
202306010402,2 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:25,2023年1月9日,1回中山4日目,16,6,12,1,2,2,3,600,140,110,120,440,490,210,370,180,"1,340",500,"3,980"
202306010403,3 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 良,発走 : 10:55,2023年1月9日,1回中山4日目,16,7,14,2,3,5,9,"18,630","3,730",770,630,"4,690","202,460","38,050","34,530","4,310","471,060","728,220","5,121,880"
202306010404,4 R,3歳新馬,ダ右1200m,天候 : 晴,ダート : 良,発走 : 11:25,2023年1月9日,1回中山4日目,16,2,3,6,11,7,14,690,270,220,710,750,"2,530","1,080","2,190","2,570","4,870","18,240","79,880"
202306010405,5 R,3歳未勝利,芝右 外1600m,天候 : 晴,芝 : 良,発走 : 12:15,2023年1月9日,1回中山4日目,16,1,2,1,1,2,3,"1,030",280,310,170,"4,200","4,220","1,340",730,"1,040","10,030","5,280","32,800"
202306010406,6 R,3歳新馬,ダ右1800m,天候 : 晴,ダート : 良,発走 : 12:45,2023年1月9日,1回中山4日目,11,8,10,3,3,8,11,210,130,180,770,610,610,290,"1,120","2,720",880,"6,470","19,630"
202306010407,7 R,4歳以上1勝クラス,ダ右1800m,天候 : 晴,ダート : 良,発走 : 13:15,2023年1月9日,1回中山4日目,16,3,5,5,10,3,6,"2,490",360,460,150,"2,710","17,330","3,940",740,"1,110","43,070","12,730","142,070"
202306010408,8 R,4歳以上2勝クラス,ダ右1200m,天候 : 晴,ダート : 良,発走 : 13:50,2023年1月9日,1回中山4日目,15,4,6,1,1,2,3,590,220,210,520,"1,490","1,590",630,"1,840","2,140","3,140","10,180","44,270"
202306010409,9 R,成田特別 ,ダ右2400m,天候 : 晴,ダート : 良,"発走 : 14:25

過去の成田特別",2023年1月9日,1回中山4日目,16,2,4,4,7,8,16,730,210,640,200,"3,870","9,080","2,310",500,"1,740","17,010","9,470","93,280"
202306010410,10 R,迎春ステークス ,芝右 外2200m,天候 : 晴,芝 : 良,"発走 : 15:01

過去の迎春ステークス",2023年1月9日,1回中山4日目,12,8,11,4,4,8,12,"1,460",310,120,280,680,"1,370",590,"1,780",590,"4,190","4,870","34,200"
202306010411,11 R,第39回フェアリーステークス(G3),芝右 外1600m,天候 : 晴,芝 : 良,"発走 : 15:35

過去のフェアリーステークス",2023年1月9日,1回中山4日目,16,7,14,5,10,1,1,"3,580",920,430,470,"7,540","21,140","6,640","6,890","2,400","48,190","68,150","517,430"
202306010412,12 R,4歳以上1勝クラス,芝右2000m,天候 : 晴,芝 : 良,発走 : 16:10,2023年1月9日,1回中山4日目,17,8,17,7,14,3,5,690,240,260,300,"1,850","3,000","1,050","1,600","1,230","6,140","11,320","50,510"
202306010501,1 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 良,発走 : 10:10,2023年1月14日,1回中山5日目,16,5,9,8,16,4,8,190,110,320,480,"1,730","1,530",550,580,"3,480","2,030","5,970","15,680"
202306010502,2 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 良,発走 : 10:40,2023年1月14日,1回中山5日目,16,7,13,6,11,5,10,650,160,110,160,520,550,260,840,250,"1,610","1,270","8,950"
202306010503,3 R,3歳未勝利,ダ右1200m,天候 : 小雨,ダート : 良,発走 : 11:10,2023年1月14日,1回中山5日目,16,8,16,8,15,2,4,250,120,140,160,530,510,250,310,510,"1,000",850,"3,780"
202306010504,4 R,3歳新馬,ダ右1800m,天候 : 小雨,ダート : 良,発走 : 11:40,2023年1月14日,1回中山5日目,16,7,14,1,1,3,5,340,170,470,240,"2,580","3,170","1,310",650,"2,480","4,860","8,080","34,520"
202306010505,5 R,3歳新馬,芝右 外1600m,天候 : 小雨,芝 : 良,発走 : 12:30,2023年1月14日,1回中山5日目,16,7,14,6,12,1,2,290,150,220,420,590,950,380,930,"1,950","1,530","4,350","14,250"
202306010506,6 R,3歳未勝利,芝右2000m,天候 : 雨,芝 : 良,発走 : 13:05,2023年1月14日,1回中山5日目,17,5,10,6,11,4,7,760,250,200,170,"2,350","2,930","1,060",560,480,"5,460","3,340","26,820"
202306010507,7 R,4歳以上1勝クラス,ダ右1200m,天候 : 雨,ダート : 良,発走 : 13:35,2023年1月14日,1回中山5日目,16,4,8,2,4,8,16,180,110,390,250,"2,050","1,830",720,460,"2,890","2,390","4,930","17,950"
202306010508,8 R,4歳以上1勝クラス,ダ右1800m,天候 : 雨,ダート : 良,発走 : 14:05,2023年1月14日,1回中山5日目,15,5,8,4,6,2,3,"1,980",470,690,150,"5,770","34,670","7,310",980,"1,600","74,270","29,670","284,500"
202306010509,9 R,菜の花賞 ,芝右 外1600m,天候 : 雨,芝 : 良,"発走 : 14:35

過去の菜の花賞",2023年1月14日,1回中山5日目,13,5,7,8,13,1,1,"1,360",400,"1,030",540,730,"22,510","5,910","3,250","7,050","33,610","111,360","624,080"
202306010510,10 R,アレキサンドライトS ,ダ右1800m,天候 : 曇,ダート : 良,"発走 : 15:10

過去のアレキサンドライトS",2023年1月14日,1回中山5日目,12,7,10,4,4,8,11,340,160,150,380,550,580,280,"1,200","1,160","1,100","3,590","12,380"
202306010511,11 R,カーバンクルS ,芝右 外1200m,天候 : 曇,芝 : 稍重,"発走 : 15:45

過去のカーバンクルS",2023年1月14日,1回中山5日目,16,6,11,1,2,3,5,470,200,770,290,"3,220","9,300","2,780",800,"4,270","14,100","23,250","150,760"
202306010512,12 R,4歳以上2勝クラス,芝右 外2200m,天候 : 曇,芝 : 稍重,発走 : 16:20,2023年1月14日,1回中山5日目,11,4,4,6,6,8,10,460,150,130,230,630,660,320,630,560,"1,670","2,080","10,700"
202306010601,1 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 良,発走 : 10:10,2023年1月15日,1回中山6日目,16,2,4,6,11,5,9,850,210,320,140,"1,670","6,100","1,500",500,"1,000","11,980","6,230","62,430"
202306010602,2 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 良,発走 : 10:40,2023年1月15日,1回中山6日目,16,5,10,3,6,1,1,450,190,270,190,"2,890","3,040",830,480,830,"5,680","5,660","32,810"
202306010603,3 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 良,発走 : 11:10,2023年1月15日,1回中山6日目,16,3,6,6,12,1,1,150,110,130,190,310,290,170,340,550,430,"1,020","2,260"
202306010604,4 R,4歳以上1勝クラス,ダ右1200m,天候 : 曇,ダート : 良,発走 : 11:40,2023年1月15日,1回中山6日目,16,6,12,8,15,7,13,460,170,190,530,"1,050","1,140",440,"1,560","2,200","2,060","7,910","43,740"
202306010605,5 R,3歳未勝利,芝右 外1600m,天候 : 曇,芝 : 良,発走 : 12:30,2023年1月15日,1回中山6日目,16,5,9,7,13,8,16,420,150,130,170,610,680,310,570,390,"1,460","1,370","5,310"
202306010606,6 R,3歳新馬,ダ右1800m,天候 : 曇,ダート : 良,発走 : 13:05,2023年1月15日,1回中山6日目,13,5,7,4,4,3,3,920,270,190,290,"2,830","2,540",770,"1,570",960,"5,600","7,580","44,070"
202306010607,7 R,4歳以上1勝クラス,芝右 外1600m,天候 : 曇,芝 : 良,発走 : 13:30,2023年1月15日,1回中山6日目,16,4,7,1,1,6,12,190,110,520,190,"1,980","2,420",710,350,"2,420","3,550","5,170","21,340"
202306010608,8 R,4歳以上2勝クラス,ダ右1800m,天候 : 曇,ダート : 良,発走 : 14:01,2023年1月15日,1回中山6日目,16,8,15,4,7,4,8,700,190,180,140,750,"2,580",810,540,430,"5,240","2,430","19,870"
202306010609,9 R,サンライズステークス ,芝右 外1200m,天候 : 小雨,芝 : 良,"発走 : 14:35

過去のサンライズステークス",2023年1月15日,1回中山6日目,11,1,1,5,5,6,6,190,120,420,440,"2,360","1,950",770,800,"3,680","2,770","10,930","26,420"
202306010610,10 R,ジャニュアリーS ,ダ右1200m,天候 : 小雨,ダート : 良,"発走 : 15:10

過去のジャニュアリーS",2023年1月15日,1回中山6日目,11,3,3,2,2,1,1,480,150,730,140,"11,130","10,690","3,220",320,"1,760","16,090","6,770","60,150"
202306010611,11 R,第63回京成杯(G3),芝右2000m,天候 : 曇,芝 : 良,"発走 : 15:45

過去の京成杯",2023年1月15日,1回中山6日目,9,4,4,3,3,7,7,270,140,"1,090",130,"12,170","19,570","4,840",220,"3,870","23,840","11,010","93,740"
202306010612,12 R,4歳以上2勝クラス,芝右 外1200m,天候 : 曇,芝 : 良,発走 : 16:20,2023年1月15日,1回中山6日目,11,4,4,6,6,1,1,620,210,180,150,"1,290","1,760",590,400,320,"3,800","1,330","10,380"
202306010701,1 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 稍重,発走 : 10:10,2023年1月21日,1回中山7日目,16,4,8,5,9,2,3,"1,390",260,140,370,"1,320","1,140",430,"1,120",620,"3,540","4,290","25,620"
202306010702,2 R,3歳未勝利,ダ右1200m,天候 : 晴,ダート : 稍重,発走 : 10:40,2023年1月21日,1回中山7日目,16,2,3,2,4,7,14,"1,250",180,100,120,630,720,330,560,190,"2,420",660,"6,490"
202306010703,3 R,3歳未勝利,ダ右1800m,天候 : 晴,ダート : 稍重,発走 : 11:10,2023年1月21日,1回中山7日目,16,2,4,6,12,3,5,660,220,230,640,"1,210","2,280",840,"2,470","2,450","4,260","14,420","61,890"
202306010704,4 R,3歳新馬,ダ右1200m,天候 : 晴,ダート : 稍重,発走 : 11:40,2023年1月21日,1回中山7日目,16,4,7,2,3,1,1,370,200,"2,290",470,"1,960","31,450","8,340","1,590","12,640","37,670","99,490","497,900"
202306010705,5 R,3歳未勝利,芝右2000m,天候 : 曇,芝 : 稍重,発走 : 12:30,2023年1月21日,1回中山7日目,13,2,2,5,7,7,10,520,180,230,130,"3,070","3,060",800,400,430,"5,460","2,520","19,190"
202306010706,6 R,3歳新馬,ダ右1800m,天候 : 曇,ダート : 稍重,発走 : 13:05,2023年1月21日,1回中山7日目,16,5,9,8,15,7,14,"2,540",450,190,"2,620",470,"3,100","1,220","24,920","8,330","10,010","105,510","455,470"
