race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,race_rank,is_obstacle,ground_type,is_left_right_straight,distance,datetime
201208010111,11,第50回スポニチ賞京都金杯(G3),1,1,2012-01-05,8,16,2,4,4,7,8,16,590,200,190,840,1390,1330,590,3510,2750,2880,14380,68090,1,0,2,2,1600,2012-01-05 15:46:00
201208010211,11,第46回日刊スポシンザン記念(G3),2,1,2012-01-08,8,15,4,7,2,3,4,6,400,200,610,820,2200,6780,2080,2660,5590,9420,53960,281970,1,0,2,2,1600,2012-01-08 15:45:00
201208010511,11,第59回日経新春杯(G2),2,1,2012-01-15,8,12,3,3,8,11,7,9,160,110,170,410,440,510,240,800,1470,660,3460,9250,2,0,2,2,2400,2012-01-15 15:45:00
201208010711,11,第19回平安ステークス(G3),1,4,2012-01-22,8,16,6,12,8,15,5,9,5640,650,110,480,1110,2150,770,6830,740,11110,11950,151570,1,0,1,2,1800,2012-01-22 15:45:00
201208020111,11,第17回シルクロードS(G3),1,1,2012-01-28,8,16,4,7,7,13,5,10,140,110,220,2110,340,680,320,2830,13950,850,28960,73940,1,0,2,2,1200,2012-01-28 15:35:00
201208020211,11,第47回京都牝馬ステークス(G3),2,1,2012-01-29,8,16,2,3,2,4,6,11,440,190,150,200,1060,1070,420,750,390,2010,2270,10930,1,0,2,2,1600,2012-01-29 15:35:00
201208020411,11,第52回きさらぎ賞(G3),2,1,2012-02-05,8,13,6,9,4,4,8,13,210,120,180,180,560,830,320,300,660,1260,1420,4970,1,0,2,2,1800,2012-02-05 15:35:00
201208020611,11,第105回京都記念(G2),1,1,2012-02-12,8,9,3,3,1,1,8,9,1450,250,120,150,1500,1580,550,650,240,4810,1730,18600,2,0,2,2,2200,2012-02-12 15:35:00
201208030211,11,第43回読売マイラーズカップ(G2),2,2,2012-04-22,8,18,8,17,2,3,3,6,690,270,270,300,1470,3560,1360,960,1060,6750,7980,36870,2,0,2,2,1600,2012-04-22 15:35:00
201208030411,11,第145回天皇賞(春)(G1),1,1,2012-04-29,8,18,1,1,8,16,6,11,15960,3720,400,350,3580,61570,8400,8870,760,208630,97140,1452520,0,0,2,2,3200,2012-04-29 15:40:00
201208030511,11,第60回京都新聞杯(G2),1,1,2012-05-05,8,13,2,2,7,10,5,6,1080,290,170,140,1630,2380,800,600,330,5910,2340,21000,2,0,2,2,2200,2012-05-05 15:35:00
201208030708,8,第14回京都ハイジャンプ(J.G2),1,1,2012-05-12,8,12,8,12,3,3,4,4,1130,240,180,200,1970,2110,530,690,450,5510,3150,30490,2,1,2,0,3930,2012-05-12 13:50:00
201208030911,11,第29回東海ステークス(G2),1,1,2012-05-19,8,15,3,4,6,10,1,1,690,290,200,1160,2390,2410,970,5540,4930,4940,35710,159380,2,0,1,2,1900,2012-05-19 15:35:00
201208040111,11,第47回デイリー杯2歳S(G2),1,1,2012-10-06,8,12,7,9,2,2,1,1,1560,400,260,170,4180,5740,1720,1350,540,12410,6730,58300,2,0,2,2,1600,2012-10-06 15:35:00
201208040311,11,第47回京都大賞典(G2),1,1,2012-10-08,8,14,8,14,6,9,4,6,1840,350,460,140,7890,15750,3210,800,960,33880,11380,128790,2,0,2,2,2400,2012-10-08 15:35:00
201208040511,11,第17回秋華賞(G1),2,1,2012-10-14,8,18,7,14,1,1,1,2,130,110,130,410,230,250,150,590,1130,300,1990,3660,3,0,2,2,2000,2012-10-14 15:40:00
201208040711,11,第73回菊花賞(G1),1,1,2012-10-21,8,18,1,1,8,16,7,15,140,110,360,390,490,960,510,630,2660,1140,4830,12450,3,0,2,2,3000,2012-10-21 15:40:00
201208040811,11,第55回毎日放送賞スワンS(G2),1,1,2012-10-27,8,16,8,15,6,12,7,13,750,310,400,440,3910,5750,1910,1980,2170,10870,22110,123950,2,0,2,2,1400,2012-10-27 15:35:00
201208050211,11,第3回みやこステークス(G3),1,1,2012-11-04,8,16,1,2,4,8,3,6,140,110,220,340,620,680,280,440,1660,890,2460,6610,1,0,1,2,1800,2012-11-04 15:45:00
201208050308,8,第14回京都ジャンプS(J.G3),1,1,2012-11-10,8,8,2,2,6,6,4,4,3670,980,880,920,11400,0,1450,1510,1660,34170,18360,359930,1,1,2,0,3170,2012-11-10 14:01:00
201208050311,11,第17回KBSファンタジーS(G3),1,1,2012-11-10,8,15,7,13,8,14,5,9,460,210,280,960,710,1980,860,3760,6290,3790,38240,157080,1,0,2,2,1400,2012-11-10 15:45:00
201208050411,11,第37回エリザベス女王杯(G1),5,3,2012-11-11,8,16,8,15,6,12,3,6,2300,380,120,360,810,1790,670,2780,530,6630,6110,50810,3,0,2,2,2200,2012-11-11 15:40:00
201208050611,11,第29回マイルチャンピオンS(G1),1,2,2012-11-18,8,18,1,1,4,7,8,17,1050,370,180,330,2060,2520,1190,2750,890,5560,9230,58050,3,0,2,2,1600,2012-11-18 15:40:00
201208050711,11,第57回京阪杯(G3),2,1,2012-11-24,8,18,1,1,4,8,3,5,3410,1250,210,1050,3650,11860,4300,15520,3990,28150,126660,792900,1,0,2,2,1200,2012-11-24 15:40:00
201308010111,11,第51回スポニチ賞京都金杯(G3),1,1,2013-01-05,8,16,1,1,2,3,4,8,360,150,360,460,1180,2150,720,1010,2830,3600,11990,62550,1,0,2,2,1600,2013-01-05 15:45:00
201308010211,11,第47回日刊スポシンザン記念(G3),1,1,2013-01-06,8,16,1,2,6,12,3,5,350,160,390,190,1700,3130,1170,390,1300,4840,4760,29880,1,0,2,2,1600,2013-01-06 15:45:00
201308010411,11,第60回日経新春杯(G2),2,1,2013-01-13,8,16,1,2,1,1,2,3,2280,610,200,290,4020,4090,1640,2630,800,9840,10000,63590,2,0,2,2,2400,2013-01-13 15:45:00
201308010611,11,第48回京都牝馬ステークス(G3),1,1,2013-01-19,8,14,3,4,5,8,6,10,170,110,180,410,350,690,320,780,2240,890,5690,14580,1,0,2,2,1600,2013-01-19 15:45:00
201308020211,11,第18回シルクロードS(G3),1,1,2013-01-27,8,16,2,4,8,16,4,8,540,220,290,500,1200,2380,720,2060,3260,4340,17920,68270,1,0,2,2,1200,2013-01-27 15:35:00
201308020411,11,第53回きさらぎ賞(G3),1,1,2013-02-03,8,9,3,3,2,2,7,7,830,240,210,180,2780,2770,770,550,490,5510,3700,28120,1,0,2,2,1800,2013-02-03 15:35:00
201308020611,11,第106回京都記念(G2),1,1,2013-02-10,8,11,8,11,1,1,8,10,920,260,200,160,810,2380,790,590,520,5570,3130,25280,2,0,2,2,2200,2013-02-10 15:35:00
201308030211,11,第44回読売マイラーズカップ(G2),1,1,2013-04-21,8,18,8,17,7,14,6,12,930,340,630,210,1500,12880,3590,870,1620,22510,17400,137990,2,0,2,2,1600,2013-04-21 15:35:00
201308030411,11,第147回天皇賞(春)(G1),1,1,2013-04-28,8,18,3,6,1,1,7,13,620,300,650,1540,2710,3190,930,2290,3750,6500,21880,111830,0,0,2,2,3200,2013-04-28 15:40:00
201308030511,11,第61回京都新聞杯(G2),2,1,2013-05-04,8,16,3,5,4,8,6,12,140,110,690,680,1990,2470,920,830,10160,3020,16100,52030,2,0,2,2,2200,2013-05-04 15:35:00
201308030911,11,第20回平安ステークス(G3),1,1,2013-05-18,8,16,1,1,4,7,3,6,140,110,590,250,1660,1930,820,320,3030,2350,4510,15630,1,0,1,2,1900,2013-05-18 15:35:00
201308031108,8,第15回京都ハイジャンプ(J.G2),1,1,2013-05-25,8,13,4,5,6,8,2,2,200,140,670,530,350,4380,1640,1080,3050,6260,17680,80070,2,1,2,0,3930,2013-05-25 13:50:00
201308040111,11,第48回デイリー杯2歳S(G2),2,1,2013-10-05,8,12,5,6,6,7,6,8,440,150,120,160,410,710,270,450,290,1630,1130,5560,2,0,2,2,1600,2013-10-05 15:35:00
201308040211,11,第48回京都大賞典(G2),1,1,2013-10-06,8,13,2,2,1,1,7,11,16620,3760,1290,260,45190,90240,15940,3700,1230,434070,161330,3619290,2,0,2,2,2400,2013-10-06 15:35:00
201308040411,11,第18回秋華賞(G1),1,1,2013-10-13,8,18,8,16,1,1,7,13,520,200,180,2260,630,950,500,9820,7480,2250,50030,233560,3,0,2,2,2000,2013-10-13 15:40:00
201308040711,11,第74回菊花賞(G1),2,4,2013-10-20,8,18,2,3,7,14,5,10,160,110,290,310,420,950,470,560,1900,1170,3910,11750,3,0,2,2,3000,2013-10-20 15:40:00
201308040811,11,第56回毎日放送賞スワンS(G2),1,2,2013-10-26,8,13,7,10,6,9,5,7,2050,560,330,960,890,6770,2320,6500,2860,16920,55880,426890,2,0,2,2,1400,2013-10-26 15:35:00
201308050211,11,第4回みやこステークス(G3),5,1,2013-11-03,8,16,2,3,6,11,3,6,420,170,390,150,3180,3200,1130,360,1310,5000,5000,28290,1,0,1,2,1800,2013-11-03 15:45:00
201308050308,8,第15回京都ジャンプS(J.G3),1,1,2013-11-09,8,7,7,7,1,1,2,2,140,110,210,0,370,0,190,220,420,460,610,1400,1,1,2,0,3170,2013-11-09 14:01:00
201308050311,11,第18回KBSファンタジーS(G3),1,1,2013-11-09,8,18,4,7,2,4,5,10,620,290,390,2240,2040,5740,1720,8030,9080,11490,98860,614810,1,0,2,2,1400,2013-11-09 15:45:00
201308050411,11,第38回エリザベス女王杯(G1),5,3,2013-11-10,8,18,2,3,8,18,4,7,390,200,530,470,1790,2780,1330,1430,3940,4480,14440,64840,3,0,2,2,2200,2013-11-10 15:40:00
201308050611,11,第30回マイルチャンピオンS(G1),1,1,2013-11-17,8,18,3,5,2,4,7,13,470,180,210,140,1630,1930,800,390,450,3250,2090,12450,3,0,2,2,1600,2013-11-17 15:40:00
201308050711,11,第58回京阪杯(G3),1,1,2013-11-23,8,17,2,3,1,1,3,5,1580,500,720,760,3840,14390,4040,4180,6730,26610,90000,467650,1,0,2,2,1200,2013-11-23 15:40:00
201408010111,11,第52回スポニチ賞京都金杯(G3),1,1,2014-01-05,8,16,1,2,3,6,5,10,1010,340,180,290,1540,2470,830,1780,820,5820,8490,55260,1,0,2,2,1600,2014-01-05 15:45:00
201408010411,11,第48回日刊スポシンザン記念(G3),1,1,2014-01-12,8,13,8,12,1,1,2,2,160,110,130,210,320,320,170,360,500,430,970,2220,1,0,2,2,1600,2014-01-12 15:45:00
201408010711,11,第61回日経新春杯(G2),1,1,2014-01-19,8,16,1,1,4,8,2,4,320,140,140,230,520,520,240,480,480,930,1380,4700,2,0,2,2,2400,2014-01-19 15:45:00
201408010811,11,第49回京都牝馬ステークス(G3),1,1,2014-01-25,8,16,7,14,2,3,5,10,420,170,150,260,400,880,350,720,590,1870,2470,11080,1,0,2,2,1600,2014-01-25 15:45:00
201408020211,11,第19回シルクロードS(G3),1,1,2014-02-02,8,16,1,2,1,1,3,6,520,150,110,1240,380,380,220,3600,2130,1250,8870,46380,1,0,2,2,1200,2014-02-02 15:35:00
201408020411,11,第54回きさらぎ賞(G3),1,2,2014-02-09,8,9,1,1,5,5,3,3,250,110,110,420,150,150,110,640,630,380,1200,3310,1,0,2,2,1800,2014-02-09 15:35:00
201408020611,11,第107回京都記念(G2),1,2,2014-02-16,8,12,8,11,7,10,7,9,3430,1130,240,450,1980,4270,1130,1720,520,13700,7420,81540,2,0,2,2,2200,2014-02-16 15:35:00
201408030211,11,第45回読売マイラーズカップ(G2),1,1,2014-04-27,8,16,2,4,3,5,6,12,640,200,120,140,590,860,390,570,230,2090,1310,7930,2,0,2,2,1600,2014-04-27 15:35:00
201408030411,11,第149回天皇賞(春)(G1),1,1,2014-05-04,8,18,4,7,6,12,3,6,1150,310,220,1470,780,2080,740,7050,3230,5670,38790,211180,0,0,2,2,3200,2014-05-04 15:40:00
201408030511,11,第62回京都新聞杯(G2),1,1,2014-05-10,8,18,2,3,6,11,3,5,710,250,320,300,3150,3700,1320,1120,1470,6990,9240,55130,2,0,2,2,2200,2014-05-10 15:35:00
201408030911,11,第21回平安ステークス(G3),1,1,2014-05-24,8,16,5,10,3,6,8,16,7490,1680,670,420,4290,50430,10940,7460,2740,122830,155660,1468650,1,0,1,2,1900,2014-05-24 15:35:00
201408031108,8,第16回京都ハイジャンプ(J.G2),1,1,2014-05-31,8,9,7,7,6,6,3,3,2440,920,330,1700,4640,4520,1090,4560,2350,13420,24620,178250,2,1,2,0,3930,2014-05-31 13:50:00
201408040311,11,第49回京都大賞典(G2),2,1,2014-10-14,8,12,6,7,7,10,2,2,520,150,280,120,670,2890,810,280,590,5090,2540,17470,2,0,2,2,2400,2014-10-14 15:35:00
201408040511,11,第19回秋華賞(G1),1,1,2014-10-19,8,18,3,6,2,4,6,12,1010,200,110,270,520,630,290,1370,400,2050,1940,12790,3,0,2,2,2000,2014-10-19 15:40:00
201408040711,11,第75回菊花賞(G1),1,1,2014-10-26,8,18,1,2,2,4,5,10,690,280,270,520,2310,2640,950,1940,2160,4470,13340,59220,3,0,2,2,3000,2014-10-26 15:40:00
201408040811,11,第57回毎日放送賞スワンS(G2),2,1,2014-11-01,8,13,7,11,8,12,4,5,250,140,190,140,910,1280,500,290,520,1710,1520,7020,2,0,2,2,1400,2014-11-01 15:35:00
201408050108,8,第16回京都ジャンプS(J.G3),1,1,2014-11-08,8,14,8,14,3,3,6,9,690,140,110,280,250,270,170,850,450,1240,1300,9350,1,1,2,0,3170,2014-11-08 14:01:00
201408050111,11,第19回KBSファンタジーS(G3),1,1,2014-11-08,8,14,4,6,1,1,6,9,9230,1780,140,230,4760,20040,5800,6670,460,53620,35130,380480,1,0,2,2,1400,2014-11-08 15:45:00
201408050211,11,第5回みやこステークス(G3),2,1,2014-11-09,8,16,7,14,2,4,5,10,550,210,390,250,3500,4480,1460,800,1820,7630,10300,54980,1,0,1,2,1800,2014-11-09 15:45:00
201408050311,11,第49回デイリー杯2歳S(G2),1,1,2014-11-15,8,9,8,8,8,9,2,2,790,160,140,110,1690,1770,460,280,220,3630,970,9660,2,0,2,2,1600,2014-11-15 15:45:00
201408050411,11,第39回エリザベス女王杯(G1),1,1,2014-11-16,8,18,1,1,3,5,7,15,680,190,140,320,610,970,390,1240,770,2140,3030,15570,3,0,2,2,2200,2014-11-16 15:40:00
201408050611,11,第31回マイルチャンピオンS(G1),1,1,2014-11-23,8,17,6,12,4,8,2,3,1810,390,200,600,1970,3890,1160,4320,1990,11460,25760,193290,3,0,2,2,1600,2014-11-23 15:40:00
201408050811,11,第1回ラジオN杯京都2歳S(G3),1,2,2014-11-29,8,8,6,6,3,3,5,5,1950,810,310,680,3880,0,870,1510,710,10660,8430,68280,1,0,2,2,2000,2014-11-29 15:45:00
201408050912,12,第59回京阪杯(G3),2,1,2014-11-30,8,18,4,7,8,16,6,12,1130,440,990,1800,5090,29400,8680,7520,21560,51340,333950,2029240,1,0,2,2,1200,2014-11-30 16:20:00
201508010111,11,第53回スポニチ賞京都金杯(G3),1,1,2015-01-04,8,18,2,4,1,1,1,2,710,280,230,460,1600,2390,880,1480,1740,4960,12420,69520,1,0,2,2,1600,2015-01-04 15:45:00
201508010411,11,第49回日刊スポシンザン記念(G3),2,1,2015-01-11,8,12,7,9,8,11,8,12,500,190,350,210,440,4080,1360,740,1700,6320,8220,43840,1,0,2,2,1600,2015-01-11 15:45:00
201508010711,11,第62回日経新春杯(G2),1,1,2015-01-18,8,18,2,4,3,5,3,6,1210,480,430,480,2100,10150,3210,2970,2360,19580,35650,200130,2,0,2,2,2400,2015-01-18 15:45:00
201508010811,11,第50回京都牝馬ステークス(G3),1,1,2015-01-24,8,18,7,13,6,12,1,2,2360,660,2180,590,1740,86460,22850,5360,13710,141900,451980,2865560,1,0,2,2,1600,2015-01-24 15:45:00
201508020211,11,第20回シルクロードS(G3),1,1,2015-02-01,8,17,2,3,1,2,8,15,440,180,220,780,890,1620,670,2780,4260,2980,21400,80310,1,0,2,2,1200,2015-02-01 15:35:00
201508020411,11,第55回きさらぎ賞(G3),1,1,2015-02-08,8,8,3,3,5,5,4,4,170,110,110,130,260,0,140,220,260,390,420,1270,1,0,2,2,1800,2015-02-08 15:35:00
201508020611,11,第108回京都記念(G2),2,1,2015-02-15,8,11,6,6,7,9,4,4,850,240,350,150,480,3040,730,430,640,5900,2940,24210,2,0,2,2,2200,2015-02-15 15:35:00
201508030211,11,第46回読売マイラーズカップ(G2),1,1,2015-04-26,8,18,7,15,2,4,4,7,2240,500,340,140,9690,15340,4090,1120,690,32690,10350,98650,2,0,2,2,1600,2015-04-26 15:35:00
201508030411,11,第151回天皇賞(春)(G1),1,1,2015-05-03,8,17,1,1,7,14,1,2,460,260,630,610,690,6060,2300,2460,6010,8480,57160,236300,0,0,2,2,3200,2015-05-03 15:40:00
201508030511,11,第63回京都新聞杯(G2),2,1,2015-05-09,8,16,2,4,1,2,8,15,460,170,160,240,380,1110,430,770,820,2460,2860,13160,2,0,2,2,2200,2015-05-09 15:35:00
201508030911,11,第22回平安ステークス(G3),2,1,2015-05-23,8,16,1,1,6,11,6,12,620,230,220,250,900,1810,740,1220,1020,3360,5380,27260,1,0,1,2,1900,2015-05-23 15:35:00
201508031108,8,第17回京都ハイジャンプ(J.G2),1,1,2015-05-30,8,14,8,14,5,8,7,11,590,240,370,200,1610,5220,1650,700,1350,9040,8210,50650,2,1,2,0,3930,2015-05-30 13:50:00
201508040311,11,第50回京都大賞典(G2),1,1,2015-10-12,8,10,1,1,8,10,7,7,310,140,140,190,660,680,290,460,400,1370,1510,6540,2,0,2,2,2400,2015-10-12 15:35:00
201508040511,11,第20回秋華賞(G1),1,1,2015-10-18,8,18,8,18,5,9,3,6,300,150,400,560,670,2790,1170,1560,4550,4100,22790,85610,3,0,2,2,2000,2015-10-18 15:40:00
201508040711,11,第76回菊花賞(G1),1,1,2015-10-25,8,18,2,4,6,11,8,17,1340,370,170,160,1430,3870,1300,1320,430,9960,4640,38880,3,0,2,2,3000,2015-10-25 15:40:00
201508040811,11,第58回毎日放送賞スワンS(G2),1,1,2015-10-31,8,15,6,11,8,14,5,9,550,180,120,230,700,910,360,910,490,1940,2710,12830,2,0,2,2,1400,2015-10-31 15:35:00
201508050111,11,第20回KBSファンタジーS(G3),2,1,2015-11-07,8,12,8,11,3,3,5,6,1170,340,350,150,5540,6130,1490,590,740,12430,4490,39480,1,0,2,2,1400,2015-11-07 15:45:00
201508050211,11,第6回みやこステークス(G3),3,4,2015-11-08,8,11,2,2,4,4,1,1,2340,470,400,210,11730,12120,3000,1500,1230,28740,19410,180390,1,0,1,2,1800,2015-11-08 15:45:00
201508050308,8,第17回京都ジャンプS(J.G3),2,2,2015-11-14,8,11,1,1,7,9,7,8,620,190,260,150,1100,2900,800,480,520,6750,3130,23590,1,1,2,0,3170,2015-11-14 14:01:00
201508050311,11,第50回デイリー杯2歳S(G2),5,2,2015-11-14,8,14,8,13,8,14,6,10,260,110,110,310,220,220,140,690,650,480,1280,3930,2,0,2,2,1600,2015-11-14 15:45:00
201508050411,11,第40回エリザベス女王杯(G1),1,2,2015-11-15,8,18,6,12,8,18,4,8,1520,320,130,210,1470,1860,680,1340,440,4730,3770,23590,3,0,2,2,2200,2015-11-15 15:40:00
201508050611,11,第32回マイルチャンピオンS(G1),2,1,2015-11-22,8,18,8,16,5,10,3,5,570,210,150,130,1270,1780,690,590,300,3400,2000,12000,3,0,2,2,1600,2015-11-22 15:40:00
201508050811,11,第2回ラジオN杯京都2歳S(G3),1,1,2015-11-28,8,12,4,4,1,1,3,3,600,210,240,140,2660,2330,860,400,470,4220,2000,14300,1,0,2,2,2000,2015-11-28 15:45:00
201508050912,12,第60回京阪杯(G3),2,1,2015-11-29,8,15,2,2,3,4,5,9,1560,270,110,290,970,990,440,2300,460,3860,3710,33650,1,0,2,2,1200,2015-11-29 16:15:00
201608010111,11,第54回スポニチ賞京都金杯(G3),2,1,2016-01-05,8,17,4,7,7,14,3,6,610,230,1020,430,3820,15400,3970,1340,9150,23080,63710,347310,1,0,2,2,1600,2016-01-05 15:45:00
201608010311,11,第50回日刊スポシンザン記念(G3),1,1,2016-01-10,8,18,3,6,4,7,7,14,2250,480,200,1240,2500,5360,1620,11070,5120,13060,95730,671850,1,0,2,2,1600,2016-01-10 15:45:00
201608010611,11,第63回日経新春杯(G2),2,1,2016-01-17,8,12,1,1,6,7,7,10,470,150,110,210,520,510,230,640,410,1260,1400,6550,2,0,2,2,2400,2016-01-17 15:45:00
201608020211,11,第21回シルクロードS(G3),1,2,2016-01-31,8,16,1,1,4,8,4,7,440,200,430,1230,2210,2440,990,3000,7950,4290,46300,161190,1,0,2,2,1200,2016-01-31 15:35:00
201608020411,11,第56回きさらぎ賞(G3),1,1,2016-02-07,8,9,8,9,2,2,3,3,120,100,140,110,730,700,200,120,330,830,430,1570,1,0,2,2,1800,2016-02-07 15:35:00
201608020611,11,第109回京都記念(G2),1,3,2016-02-14,8,15,4,7,4,6,2,2,920,320,210,240,2870,2880,1040,1290,820,5690,8020,45480,2,0,2,2,2200,2016-02-14 15:35:00
201608020711,11,第51回京都牝馬ステークス(G3),5,3,2016-02-20,8,18,7,14,5,10,6,11,470,190,340,220,2200,3500,1280,740,1190,5920,6220,36210,1,0,2,2,1400,2016-02-20 15:35:00
201608030211,11,第47回読売マイラーズカップ(G2),2,1,2016-04-24,8,15,2,2,1,1,3,4,910,360,310,850,3750,6640,2130,6100,3140,13200,50390,281010,2,0,2,2,1600,2016-04-24 15:35:00
